state,avg_review_score
SP,4.18700116826548
PR,4.185349056422292
AP,4.183107274969174
RS,4.163564005753104
MT,4.150528731863267
MG,4.120324692018538
RN,4.094650405714008
AM,4.0921947726459
DF,4.082290684720199
PB,4.065522792127021
MS,4.065043007635063
ES,4.050174675829711
SC,4.0403256200999325
PE,4.035119379351221
AC,4.03394901144641
RO,4.01311553030303
GO,4.0127714874675116
TO,4.004557779957307
PI,3.932681682957926
RJ,3.923855622357545
PA,3.8970861823189735
CE,3.8651414810355207
BA,3.848503153495754
SE,3.838013223410334
AL,3.728063897397727
MA,3.724981676720979
RR,3.566363200766651
